n,threads,run,alloc_ms,mag_ms
1000000,1,1,1,2
1000000,1,2,1,1
1000000,1,3,0,1
1000000,2,1,0,0
1000000,2,2,0,0
1000000,2,3,0,0
1000000,4,1,0,0
1000000,4,2,0,0
1000000,4,3,0,0
1000000,8,1,0,0
1000000,8,2,0,0
1000000,8,3,0,0
3000000,1,1,2,4
3000000,1,2,2,3
3000000,1,3,1,2
3000000,2,1,2,1
3000000,2,2,1,1
3000000,2,3,1,1
3000000,4,1,1,0
3000000,4,2,1,1
3000000,4,3,1,0
3000000,8,1,1,0
3000000,8,2,1,0
3000000,8,3,1,0
10000000,1,1,6,15
10000000,1,2,6,11
10000000,1,3,5,10
10000000,2,1,6,5
10000000,2,2,6,5
10000000,2,3,6,5
10000000,4,1,6,3
10000000,4,2,5,2
10000000,4,3,6,3
10000000,8,1,5,2
10000000,8,2,6,3
10000000,8,3,6,2
30000000,1,1,39,44
30000000,1,2,18,32
30000000,1,3,19,32
30000000,2,1,18,17
30000000,2,2,17,16
30000000,2,3,18,16
30000000,4,1,17,8
30000000,4,2,18,9
30000000,4,3,19,9
30000000,8,1,17,6
30000000,8,2,18,7
30000000,8,3,19,7
