n,run,alloc_s,conversion_s,total_s,zeroes,ones
1000000,1,0.011205,0.042558,0.053763,431683,568317
1000000,2,0.008625,0.026043,0.034668,431683,568317
1000000,3,0.007445,0.026223,0.033668,431683,568317
5000000,1,0.037545,0.130930,0.168475,2158753,2841247
5000000,2,0.037601,0.131419,0.169020,2158753,2841247
5000000,3,0.037723,0.130982,0.168705,2158753,2841247
10000000,1,0.075689,0.263081,0.338770,4319287,5680713
10000000,2,0.075549,0.262384,0.337933,4319287,5680713
10000000,3,0.076024,0.268001,0.344025,4319287,5680713
50000000,1,0.377628,1.342240,1.719868,21595182,28404818
50000000,2,0.376375,1.311357,1.687732,21595182,28404818
50000000,3,0.378175,1.310147,1.688322,21595182,28404818
2000000,1,0.015773,0.061342,0.077115,862456,1137544
2000000,2,0.015797,0.053527,0.069324,862456,1137544
2000000,3,0.015279,0.052777,0.068056,862456,1137544
4000000,1,0.030873,0.107743,0.138616,1726323,2273677
4000000,2,0.041819,0.139819,0.181638,1726323,2273677
4000000,3,0.035771,0.176445,0.212216,1726323,2273677
8000000,1,0.062959,0.220506,0.283465,3455402,4544598
8000000,2,0.062389,0.212429,0.274818,3455402,4544598
8000000,3,0.061189,0.216193,0.277382,3455402,4544598
16000000,1,0.150687,0.475988,0.626675,6911640,9088360
16000000,2,0.130167,0.525461,0.655628,6911640,9088360
16000000,3,0.157970,0.533770,0.691740,6911640,9088360
32000000,1,0.298549,0.855525,1.154074,13822447,18177553
32000000,2,0.307082,0.866201,1.173283,13822447,18177553
32000000,3,0.241448,0.922622,1.164070,13822447,18177553
