study,n,processes,run,wall_s,work_s,zeroes,ones
q2,10000000,2,1,0.217675,0.268385,4319287,5680713
q2,10000000,2,2,0.221059,0.268703,4319287,5680713
q2,10000000,2,3,0.215932,0.266788,4319287,5680713
q2,10000000,4,1,0.165247,0.310936,4319287,5680713
q2,10000000,4,2,0.153109,0.273720,4319287,5680713
q2,10000000,4,3,0.156444,0.279112,4319287,5680713
q2,10000000,8,1,0.194360,0.481325,4319287,5680713
q2,10000000,8,2,0.186527,0.485905,4319287,5680713
q2,10000000,8,3,0.177967,0.470508,4319287,5680713
q2,10000000,16,1,0.162340,0.489529,4319287,5680713
q2,10000000,16,2,0.148685,0.486414,4319287,5680713
q2,10000000,16,3,0.149648,0.425188,4319287,5680713
q2,10000000,32,1,0.169312,0.994332,4319287,5680713
q2,10000000,32,2,0.174032,1.179875,4319287,5680713
q2,10000000,32,3,0.199874,0.786506,4319287,5680713
