study,n,processes,run,wall_s,work_s,zeroes,ones
weak,1000000,1,1,0.034294,0.025935,431683,568317
weak,1000000,1,2,0.035195,0.027120,431683,568317
weak,1000000,1,3,0.039497,0.031151,431683,568317
weak,2000000,2,1,0.052298,0.058715,862456,1137544
weak,2000000,2,2,0.045764,0.055148,862456,1137544
weak,2000000,2,3,0.044183,0.053657,862456,1137544
weak,4000000,4,1,0.064265,0.115151,1726323,2273677
weak,4000000,4,2,0.096179,0.196837,1726323,2273677
weak,4000000,4,3,0.076779,0.148663,1726323,2273677
weak,8000000,8,1,0.142449,0.360143,3455402,4544598
weak,8000000,8,2,0.154364,0.420838,3455402,4544598
weak,8000000,8,3,0.185147,0.401733,3455402,4544598
weak,16000000,16,1,0.258220,1.330495,6911640,9088360
weak,16000000,16,2,0.257867,0.777169,6911640,9088360
weak,16000000,16,3,0.316704,1.588522,6911640,9088360
weak,32000000,32,1,0.528735,3.189739,13822447,18177553
weak,32000000,32,2,0.568776,5.616530,13822447,18177553
weak,32000000,32,3,0.488451,4.126648,13822447,18177553
